measures,,ID,countx,Repeats or deletes,Data Name,Target No.,Group Traits,L*(D65),a*(D65),b*(D65),dL*(D65),da*(D65),db*(D65),dE*ab(D65),Judgement,360nm,370nm,380nm,390nm,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,710nm,720nm,730nm,740nm,ID,count,Idx,countx
21,Palm,264,9,,264_#0009,------,SCE,59.65,11.74,14.38,------,------,------,------,------,14.09,14.09,14.09,14.09,14.09,13.44,13.21,13.7,15.39,18.93,22.51,24.65,25.85,26.76,27.39,27.4,26.2,24.08,22.44,22.26,22.75,22.38,23.45,29.53,37.72,43.91,47.28,49.02,50.15,50.97,51.54,52.31,53.08,53.8,54.17,54.17,54.17,54.17,54.17,264,9,264,9
21,Forearm_inner,264,10,,264_#0010,------,SCE,64.5,7.6,14.11,------,------,------,------,------,16.97,16.97,16.97,16.97,16.97,16.63,16.41,16.96,19.15,23.68,28.12,30.44,31.77,32.64,33.15,33.03,32.16,30.58,29.04,28.45,28.8,29.21,30.69,35.46,41.94,47.08,49.95,51.4,52.32,53.06,53.58,54.29,55.07,55.73,56.14,56.14,56.14,56.14,56.14,264,10,264,10
21,Tricep,264,11,,264_#0011,------,SCE,63.98,9.8,15.97,------,------,------,------,------,16.08,16.08,16.08,16.08,16.08,16.01,16.09,16.91,19.06,22.36,25.28,27.2,28.65,29.91,30.94,31.45,30.79,29.14,27.96,28.28,29.06,28.7,29.81,35.99,43.38,48.3,50.87,52.28,53.23,53.95,54.5,55.1,55.67,56.14,56.38,56.38,56.38,56.38,56.38,264,11,264,11
21,Shoulder,264,12,,264_#0012,------,SCE,65.91,9.78,17.09,------,------,------,------,------,17.62,17.62,17.62,17.62,17.62,17.52,17.61,18.65,21.06,23.85,26.05,27.65,29.1,30.56,31.98,32.96,32.71,31.47,30.69,31.34,32.3,31.84,32.77,39.11,46.36,50.81,53.32,54.82,55.89,56.73,57.31,57.94,58.43,58.85,59.05,59.05,59.05,59.05,59.05,264,12,264,12
21,Cheek_L,264,13,,264_#0013,------,SCE,59.24,15.16,15.96,------,------,------,------,------,13.77,13.77,13.77,13.77,13.77,13.61,13.61,14.5,16.39,18.36,19.98,21.18,22.26,23.38,24.54,25.21,24.52,22.92,21.97,22.45,23.24,22.58,23.22,29.96,38.75,44.89,48.78,51.07,52.73,54.08,55.03,56.03,56.93,57.7,58.21,58.21,58.21,58.21,58.21,264,13,264,13
21,Cheek_R,264,14,,264_#0014,------,SCE,59.81,15.34,15.22,------,------,------,------,------,14.7,14.7,14.7,14.7,14.7,14.47,14.43,15.26,17.15,19.21,20.88,22.13,23.17,24.27,25.33,25.9,25.11,23.44,22.43,22.86,23.61,22.96,23.56,30.39,39.54,46.04,50.01,52.28,53.88,55.16,56.02,56.93,57.76,58.45,58.85,58.85,58.85,58.85,58.85,264,14,264,14
21,Forehead,264,15,,264_#0015,------,SCE,62.09,13.49,17.14,------,------,------,------,------,16.22,16.22,16.22,16.22,16.22,15.4,15.01,15.75,17.75,20.18,22.13,23.43,24.59,25.95,27.41,28.26,27.78,26.33,25.36,25.64,26.41,26.13,27.22,34.1,42.26,48.05,51.64,53.62,55.1,56.32,57.26,58.33,59.3,60.13,60.7,60.7,60.7,60.7,60.7,264,15,264,15
21,Palm,264,16,,264_#0016,------,SCE,60.3,11.93,14.68,------,------,------,------,------,14.45,14.45,14.45,14.45,14.45,13.78,13.54,14.04,15.83,19.38,22.93,25.05,26.32,27.25,27.95,28.04,26.86,24.69,23.01,22.9,23.45,23.03,24.07,30.46,38.96,45.21,48.53,50.2,51.32,52.11,52.64,53.36,54.07,54.69,55.03,55.03,55.03,55.03,55.03,264,16,264,16
21,Forearm_inner,264,17,,264_#0017,------,SCE,65.62,6.86,13.95,------,------,------,------,------,18.11,18.11,18.11,18.11,18.11,17.73,17.5,18.05,20.41,25.06,29.41,31.66,32.95,33.85,34.44,34.42,33.64,32.15,30.65,30.15,30.51,30.85,32.3,37.04,43.25,47.97,50.59,51.91,52.8,53.44,53.92,54.53,55.15,55.74,56.07,56.07,56.07,56.07,56.07,264,17,264,17
21,Tricep,264,18,,264_#0018,------,SCE,64.43,9.45,15.6,------,------,------,------,------,16.73,16.73,16.73,16.73,16.73,16.64,16.65,17.41,19.6,23.04,26.05,27.92,29.36,30.56,31.55,32.03,31.4,29.79,28.65,28.86,29.59,29.33,30.47,36.41,43.67,48.55,51.16,52.57,53.5,54.23,54.78,55.34,55.92,56.38,56.58,56.58,56.58,56.58,56.58,264,18,264,18
21,Shoulder,264,19,,264_#0019,------,SCE,66.22,9.95,17.74,------,------,------,------,------,17.46,17.46,17.46,17.46,17.46,17.39,17.52,18.65,21.08,23.78,25.92,27.47,28.99,30.49,32.03,33.09,32.93,31.72,31.03,31.8,32.85,32.38,33.36,39.89,47.16,51.51,53.92,55.41,56.47,57.32,57.95,58.57,59.07,59.5,59.67,59.67,59.67,59.67,59.67,264,19,264,19
21,Cheek_L,264,20,,264_#0020,------,SCE,58.9,15.74,15.72,------,------,------,------,------,13.82,13.82,13.82,13.82,13.82,13.61,13.55,14.37,16.18,18.18,19.8,20.99,22.07,23.18,24.27,24.91,24.14,22.47,21.44,21.89,22.66,21.97,22.56,29.4,38.54,44.96,49.01,51.34,53.02,54.34,55.29,56.29,57.21,57.95,58.45,58.45,58.45,58.45,58.45,264,20,264,20
21,Cheek_R,264,21,,264_#0021,------,SCE,60.27,14.88,15.3,------,------,------,------,------,14.89,14.89,14.89,14.89,14.89,14.63,14.57,15.47,17.46,19.58,21.31,22.59,23.66,24.77,25.87,26.47,25.68,24,22.97,23.41,24.18,23.54,24.16,31.03,40.08,46.33,50.23,52.46,54.04,55.26,56.11,57.03,57.85,58.52,58.91,58.91,58.91,58.91,58.91,264,21,264,21
21,Forehead,264,22,,264_#0022,------,SCE,61.48,13.11,17.84,------,------,------,------,------,15.37,15.37,15.37,15.37,15.37,14.59,14.26,15.04,17.03,19.32,21.1,22.3,23.45,24.89,26.44,27.43,27.13,25.82,24.93,25.28,26.07,25.76,26.83,33.55,41.37,46.74,50.07,51.89,53.25,54.42,55.35,56.4,57.36,58.15,58.69,58.69,58.69,58.69,58.69,264,22,264,22
21,Palm,272,2,,272_#0002,------,SCE,58.93,13.3,16.86,------,------,------,------,------,14.38,14.38,14.38,14.38,14.38,13.31,12.82,12.99,14.21,16.99,19.8,21.81,23.04,23.99,25.18,26.07,25.47,23.38,21.66,21.63,22.23,21.58,22.58,29.19,37.89,44.42,47.97,49.77,50.84,51.63,52.12,52.81,53.58,54.31,54.72,54.72,54.72,54.72,54.72,272,2,272,2
21,Forearm_inner,272,3,,272_#0003,------,SCE,67.74,7.59,14.63,------,------,------,------,------,21.82,21.82,21.82,21.82,21.82,20.44,19.59,19.72,21.97,26.87,31.25,33.55,34.67,35.59,36.49,36.99,36.51,34.92,33.17,32.57,32.96,33.13,34.62,40.09,47.27,52.58,55.38,56.66,57.46,58.03,58.39,58.94,59.52,60.04,60.29,60.29,60.29,60.29,60.29,272,3,272,3
21,Tricep,272,4,,272_#0004,------,SCE,68.17,7.84,13.79,------,------,------,------,------,23.74,23.74,23.74,23.74,23.74,22.37,21.48,21.67,23.82,28.01,31.62,33.56,34.66,35.68,36.73,37.42,36.98,35.37,33.85,33.52,33.95,33.83,35.12,40.96,48.21,53.17,55.63,56.74,57.45,57.93,58.25,58.68,59.05,59.41,59.5,59.5,59.5,59.5,59.5,272,4,272,4
21,Shoulder,272,5,,272_#0005,------,SCE,72.09,7.08,15.54,------,------,------,------,------,27.18,27.18,27.18,27.18,27.18,25.36,24.26,24.76,27.65,31.76,34.66,36.49,37.77,39.28,41.13,42.59,42.47,40.87,39.55,39.64,40.27,39.84,41.13,47.92,55.12,59.28,61.32,62.24,62.74,63.08,63.21,63.52,63.7,63.87,63.84,63.84,63.84,63.84,63.84,272,5,272,5
21,Cheek_L,272,6,,272_#0006,------,SCE,62.3,16.74,16.11,------,------,------,------,------,17.58,17.58,17.58,17.58,17.58,16.56,15.96,16.5,18.37,20.73,22.79,24.35,25.54,26.75,28.06,28.9,27.91,25.6,24.08,24.5,25.38,24.49,25.35,34.06,45.16,52.43,56.52,58.69,60.16,61.23,62,62.84,63.57,64.23,64.59,64.59,64.59,64.59,64.59,272,6,272,6
21,Cheek_R,272,7,,272_#0007,------,SCE,60.82,16.93,15.75,------,------,------,------,------,16.55,16.55,16.55,16.55,16.55,15.61,15.08,15.56,17.28,19.58,21.57,23.08,24.25,25.36,26.6,27.39,26.41,24.07,22.57,22.92,23.69,22.8,23.57,31.78,42.6,50.12,54.37,56.57,58.05,59.13,59.87,60.74,61.5,62.22,62.62,62.62,62.62,62.62,62.62,272,7,272,7
21,Forehead,272,8,,272_#0008,------,SCE,60.99,17.32,16.78,------,------,------,------,------,16.87,16.87,16.87,16.87,16.87,15.56,14.86,15.23,16.87,19.16,21.18,22.72,23.74,24.89,26.28,27.21,26.41,24.25,22.78,23,23.81,23.17,24.21,32.48,43.04,50.54,55,57.35,58.93,60.04,60.9,61.91,62.98,63.91,64.47,64.47,64.47,64.47,64.47,272,8,272,8
21,Palm,272,9,,272_#0009,------,SCE,59.43,13.3,17.27,------,------,------,------,------,14.6,14.6,14.6,14.6,14.6,13.48,12.98,13.23,14.52,17.22,19.96,21.95,23.16,24.22,25.48,26.53,25.94,23.83,22.12,22.21,22.89,22.12,23.1,30.09,38.98,45.28,48.66,50.3,51.34,52.04,52.5,53.09,53.8,54.48,54.83,54.83,54.83,54.83,54.83,272,9,272,9
21,Forearm_inner,272,10,,272_#0010,------,SCE,67.7,7.22,14.12,------,------,------,------,------,22.15,22.15,22.15,22.15,22.15,20.8,19.91,19.99,22.15,27.11,31.67,33.94,34.95,35.82,36.56,37.01,36.53,35.05,33.34,32.6,32.86,33.18,34.73,39.86,46.79,52.02,54.76,56.01,56.77,57.31,57.64,58.17,58.69,59.2,59.45,59.45,59.45,59.45,59.45,272,10,272,10
21,Tricep,272,11,,272_#0011,------,SCE,69.09,7.25,13.94,------,------,------,------,------,24.55,24.55,24.55,24.55,24.55,23.08,22.14,22.39,24.67,28.99,32.65,34.6,35.71,36.77,37.92,38.71,38.33,36.76,35.26,34.91,35.34,35.26,36.58,42.35,49.35,54.06,56.39,57.5,58.17,58.63,58.89,59.34,59.69,60.01,60.08,60.08,60.08,60.08,60.08,272,11,272,11
21,Shoulder,272,12,,272_#0012,------,SCE,71.98,7.56,15.19,------,------,------,------,------,27.59,27.59,27.59,27.59,27.59,25.79,24.68,25.18,27.94,31.86,34.61,36.34,37.62,39.11,40.96,42.41,42.24,40.56,39.2,39.35,40.01,39.48,40.69,47.76,55.3,59.63,61.64,62.55,63.02,63.36,63.5,63.73,63.89,64.05,63.98,63.98,63.98,63.98,63.98,272,12,272,12
21,Cheek_L,272,13,,272_#0013,------,SCE,62.49,16.11,16.31,------,------,------,------,------,17.52,17.52,17.52,17.52,17.52,16.49,15.92,16.54,18.47,20.84,22.86,24.41,25.58,26.82,28.2,29.12,28.23,25.97,24.5,24.95,25.82,24.93,25.82,34.49,45.23,52.14,56.01,58.03,59.42,60.46,61.17,61.97,62.67,63.3,63.64,63.64,63.64,63.64,63.64,272,13,272,13
21,Cheek_R,272,14,,272_#0014,------,SCE,60.57,16.78,16.02,------,------,------,------,------,16.3,16.3,16.3,16.3,16.3,15.34,14.75,15.11,16.72,19.13,21.34,22.92,24.03,25.14,26.34,27.07,26.13,23.93,22.44,22.64,23.33,22.68,23.61,31.4,41.84,49.46,53.89,56.21,57.76,58.93,59.77,60.74,61.73,62.58,63.12,63.12,63.12,63.12,63.12,272,14,272,14
21,Forehead,272,15,,272_#0015,------,SCE,61.61,17.02,16.85,------,------,------,------,------,17.27,17.27,17.27,17.27,17.27,15.9,15.13,15.54,17.29,19.65,21.77,23.35,24.46,25.64,27.08,28.04,27.21,24.92,23.35,23.64,24.47,23.77,24.8,33.36,44.12,51.55,55.84,58.05,59.52,60.59,61.35,62.32,63.27,64.14,64.63,64.63,64.63,64.63,64.63,272,15,272,15
21,Palm,272,16,,272_#0016,------,SCE,60.41,12.58,17.7,------,------,------,------,------,15.2,15.2,15.2,15.2,15.2,14.03,13.51,13.81,15.32,17.98,20.47,22.37,23.59,24.72,26.19,27.47,27.06,24.99,23.36,23.65,24.43,23.47,24.35,31.57,40.24,46.05,49.12,50.68,51.69,52.4,52.8,53.31,53.89,54.46,54.71,54.71,54.71,54.71,54.71,272,16,272,16
21,Forearm_inner,272,17,,272_#0017,------,SCE,67.27,7.24,13.94,------,------,------,------,------,21.8,21.8,21.8,21.8,21.8,20.47,19.65,19.78,21.87,26.69,31.17,33.49,34.62,35.51,36.31,36.7,36.09,34.41,32.58,31.97,32.32,32.48,33.92,39.19,46.14,51.31,54.12,55.43,56.23,56.82,57.18,57.74,58.35,58.91,59.19,59.19,59.19,59.19,59.19,272,17,272,17
21,Tricep,272,18,,272_#0018,------,SCE,69.3,7.01,13.91,------,------,------,------,------,25.04,25.04,25.04,25.04,25.04,23.55,22.57,22.8,25.13,29.39,32.77,34.6,35.68,36.77,37.99,38.87,38.61,37.15,35.74,35.51,35.94,35.81,37.04,42.72,49.48,53.96,56.19,57.24,57.9,58.34,58.64,59.05,59.41,59.71,59.8,59.8,59.8,59.8,59.8,272,18,272,18
21,Shoulder,272,19,,272_#0019,------,SCE,71.53,7.61,15.26,------,------,------,------,------,27.01,27.01,27.01,27.01,27.01,25.22,24.17,24.67,27.42,31.26,33.98,35.7,36.96,38.44,40.29,41.74,41.58,39.93,38.59,38.73,39.37,38.88,40.05,46.88,54.36,58.82,60.95,61.91,62.5,62.85,63.04,63.3,63.53,63.72,63.7,63.7,63.7,63.7,63.7,272,19,272,19
21,Cheek_L,272,20,,272_#0020,------,SCE,63.11,15.9,16.25,------,------,------,------,------,18.08,18.08,18.08,18.08,18.08,17,16.37,16.95,18.94,21.42,23.53,25.15,26.39,27.65,29.04,29.95,28.99,26.64,25.12,25.55,26.45,25.6,26.52,35.32,46.14,53.06,56.88,58.88,60.28,61.29,61.99,62.77,63.47,64.08,64.43,64.43,64.43,64.43,64.43,272,20,272,20
21,Cheek_R,272,21,,272_#0021,------,SCE,60.4,17.13,15.84,------,------,------,------,------,16.38,16.38,16.38,16.38,16.38,15.39,14.78,15.13,16.75,19.1,21.22,22.76,23.9,24.99,26.18,26.9,25.92,23.69,22.15,22.4,23.1,22.34,23.2,31.15,41.8,49.51,53.98,56.35,57.94,59.11,59.92,60.93,61.83,62.69,63.21,63.21,63.21,63.21,63.21,272,21,272,21
21,Forehead,272,22,,272_#0022,------,SCE,61.75,17.33,16.59,------,------,------,------,------,17.84,17.84,17.84,17.84,17.84,16.36,15.53,15.88,17.54,19.92,21.99,23.57,24.64,25.8,27.21,28.19,27.32,25.02,23.46,23.73,24.54,23.77,24.76,33.38,44.37,52.06,56.45,58.78,60.31,61.42,62.23,63.21,64.15,65.01,65.55,65.55,65.55,65.55,65.55,272,22,272,22
21,Palm,282,2,,282_#0002,------,SCE,60.83,10.11,13.68,------,------,------,------,------,14.92,14.92,14.92,14.92,14.92,14.03,13.64,14.08,16.05,20.38,24.65,26.98,28.14,28.93,29.37,29.23,27.93,25.65,23.78,23.5,23.97,23.66,24.86,30.73,38.5,44.4,47.65,49.23,50.23,50.91,51.33,51.9,52.53,53.1,53.3,53.3,53.3,53.3,53.3,282,2,282,2
21,Forearm_inner,282,3,,282_#0003,------,SCE,64.4,7.65,15.34,------,------,------,------,------,16.31,16.31,16.31,16.31,16.31,16.04,15.89,16.4,18.55,23.07,27.25,29.33,30.42,31.27,31.82,31.95,31.5,30.47,29.29,28.9,29.37,29.94,31.57,36.08,41.97,46.58,49.11,50.45,51.4,52.16,52.72,53.48,54.21,54.88,55.33,55.33,55.33,55.33,55.33,282,3,282,3
21,Tricep,282,4,,282_#0004,------,SCE,62.29,9.2,19.12,------,------,------,------,------,13.09,13.09,13.09,13.09,13.09,13.15,13.31,14.03,15.95,19.17,22.05,23.73,24.94,25.99,27.01,27.69,27.85,27.48,27.1,27.28,28.04,28.8,30.49,34.86,40.18,44.08,46.39,47.82,48.94,49.89,50.7,51.6,52.41,53.14,53.68,53.68,53.68,53.68,53.68,282,4,282,4
21,Shoulder,282,5,,282_#0005,------,SCE,60.98,10.35,21.03,------,------,------,------,------,11.56,11.56,11.56,11.56,11.56,11.83,12.16,13,14.76,17.26,19.32,20.74,21.92,23.1,24.32,25.27,25.74,25.65,25.65,26.32,27.35,27.93,29.49,34.07,39.07,42.61,44.87,46.4,47.69,48.86,49.83,50.87,51.81,52.62,53.27,53.27,53.27,53.27,53.27,282,5,282,5
21,Cheek_L,282,6,,282_#0006,------,SCE,61.47,12.53,20.63,------,------,------,------,------,12.25,12.25,12.25,12.25,12.25,12.63,13.05,14.12,16.05,17.97,19.53,20.75,21.84,23.02,24.37,25.46,25.82,25.61,25.69,26.6,27.73,27.77,29,34.85,41.19,45.23,47.84,49.61,51.05,52.35,53.42,54.48,55.42,56.26,56.93,56.93,56.93,56.93,56.93,282,6,282,6
21,Cheek_R,282,7,,282_#0007,------,SCE,60.61,12.69,20.66,------,------,------,------,------,11.57,11.57,11.57,11.57,11.57,11.91,12.3,13.35,15.24,17.22,18.86,20.13,21.24,22.42,23.71,24.72,25.02,24.7,24.67,25.48,26.56,26.67,27.87,33.53,39.86,44.12,46.92,48.79,50.33,51.68,52.8,53.95,54.96,55.92,56.66,56.66,56.66,56.66,56.66,282,7,282,7
21,Forehead,282,8,,282_#0008,------,SCE,60.28,12.25,20.88,------,------,------,------,------,11.24,11.24,11.24,11.24,11.24,11.66,12.11,13.14,14.93,16.83,18.41,19.66,20.75,21.97,23.27,24.29,24.67,24.53,24.61,25.32,26.28,26.69,28.03,33.08,38.73,42.9,45.79,47.74,49.34,50.81,52.04,53.35,54.56,55.66,56.61,56.61,56.61,56.61,56.61,282,8,282,8
21,Palm,282,9,,282_#0009,------,SCE,59.6,9.94,12.94,------,------,------,------,------,14.32,14.32,14.32,14.32,14.32,13.5,13.08,13.34,15.04,19.42,24.13,26.6,27.62,28.22,28.36,27.93,26.6,24.55,22.67,22.02,22.29,22.42,23.77,28.84,36.21,42.28,45.71,47.39,48.43,49.12,49.6,50.29,51.02,51.67,51.98,51.98,51.98,51.98,51.98,282,9,282,9
21,Forearm_inner,282,10,,282_#0010,------,SCE,64.87,6.98,15.22,------,------,------,------,------,16.67,16.67,16.67,16.67,16.67,16.38,16.2,16.72,18.99,23.64,27.9,30,31.08,31.9,32.45,32.59,32.16,31.21,30.08,29.64,30.08,30.73,32.4,36.69,42.21,46.54,48.94,50.29,51.19,51.94,52.45,53.23,53.96,54.65,55.16,55.16,55.16,55.16,55.16,282,10,282,10
21,Tricep,282,11,,282_#0011,------,SCE,63.24,9.38,19.27,------,------,------,------,------,13.46,13.46,13.46,13.46,13.46,13.49,13.68,14.54,16.63,19.97,22.9,24.66,25.91,27.09,28.2,28.96,29.01,28.44,27.9,28.23,29.08,29.56,31.25,36.26,41.94,45.97,48.29,49.73,50.84,51.81,52.59,53.47,54.27,54.97,55.49,55.49,55.49,55.49,55.49,282,11,282,11
21,Shoulder,282,12,,282_#0012,------,SCE,60.93,10.86,21.04,------,------,------,------,------,11.57,11.57,11.57,11.57,11.57,11.8,12.12,12.94,14.72,17.18,19.28,20.7,21.94,23.13,24.36,25.32,25.69,25.44,25.35,26.05,27.1,27.55,29.09,34.07,39.48,43.16,45.5,47.04,48.36,49.52,50.52,51.57,52.5,53.34,53.98,53.98,53.98,53.98,53.98,282,12,282,12
21,Cheek_L,282,13,,282_#0013,------,SCE,60.96,12.71,20.45,------,------,------,------,------,11.98,11.98,11.98,11.98,11.98,12.38,12.79,13.84,15.73,17.64,19.2,20.38,21.45,22.65,23.94,24.99,25.33,25.05,25.06,25.96,27.07,27.1,28.25,34.06,40.53,44.63,47.31,49.08,50.57,51.88,52.97,54.05,55.04,55.89,56.59,56.59,56.59,56.59,56.59,282,13,282,13
21,Cheek_R,282,14,,282_#0014,------,SCE,60.63,13.37,19.94,------,------,------,------,------,12.02,12.02,12.02,12.02,12.02,12.33,12.69,13.74,15.61,17.57,19.21,20.45,21.58,22.74,23.99,24.95,25.09,24.57,24.41,25.18,26.21,26.22,27.34,33.25,40.19,44.88,47.88,49.83,51.45,52.87,54.01,55.24,56.29,57.24,57.97,57.97,57.97,57.97,57.97,282,14,282,14
21,Forehead,282,15,,282_#0015,------,SCE,61.13,12.3,20.35,------,------,------,------,------,12.07,12.07,12.07,12.07,12.07,12.5,12.92,13.93,15.78,17.76,19.42,20.68,21.82,23.03,24.33,25.34,25.66,25.4,25.4,26.1,27.09,27.4,28.7,33.94,39.93,44.3,47.29,49.32,50.96,52.45,53.67,54.99,56.22,57.3,58.22,58.22,58.22,58.22,58.22,282,15,282,15
21,Palm,282,16,,282_#0016,------,SCE,60.39,9.99,13.3,------,------,------,------,------,14.74,14.74,14.74,14.74,14.74,13.87,13.43,13.78,15.66,20.06,24.65,27,28.05,28.68,28.94,28.64,27.38,25.34,23.53,22.99,23.29,23.29,24.59,29.87,37.34,43.45,46.9,48.63,49.71,50.4,50.88,51.5,52.2,52.77,53.05,53.05,53.05,53.05,53.05,282,16,282,16
21,Forearm_inner,282,17,,282_#0017,------,SCE,64.38,7.58,14.75,------,------,------,------,------,16.7,16.7,16.7,16.7,16.7,16.33,16.14,16.66,18.83,23.39,27.62,29.7,30.75,31.56,32.06,32.12,31.61,30.46,29.22,28.81,29.23,29.76,31.34,35.85,41.78,46.45,49.01,50.41,51.36,52.05,52.67,53.42,54.15,54.83,55.32,55.32,55.32,55.32,55.32,282,17,282,17
21,Tricep,282,18,,282_#0018,------,SCE,62.43,10.19,19.67,------,------,------,------,------,12.86,12.86,12.86,12.86,12.86,12.93,13.08,13.85,15.79,19,21.9,23.6,24.82,25.95,27.04,27.72,27.86,27.36,26.92,27.1,27.91,28.61,30.35,35.23,41.06,45.42,47.92,49.47,50.7,51.75,52.64,53.59,54.48,55.25,55.84,55.84,55.84,55.84,55.84,282,18,282,18
21,Shoulder,282,19,,282_#0019,------,SCE,61.26,10.44,21.25,------,------,------,------,------,11.7,11.7,11.7,11.7,11.7,11.95,12.3,13.11,14.88,17.36,19.45,20.86,22.06,23.23,24.48,25.47,25.96,25.92,25.96,26.63,27.68,28.32,29.89,34.49,39.53,43.09,45.38,46.92,48.22,49.43,50.38,51.45,52.38,53.21,53.87,53.87,53.87,53.87,53.87,282,19,282,19
21,Cheek_L,282,20,,282_#0020,------,SCE,60.3,12.61,20.77,------,------,------,------,------,11.4,11.4,11.4,11.4,11.4,11.81,12.26,13.33,15.19,16.94,18.41,19.56,20.64,21.82,23.12,24.21,24.61,24.4,24.51,25.41,26.48,26.58,27.71,33.22,39.34,43.4,46.09,47.88,49.44,50.79,51.94,53.08,54.08,54.97,55.69,55.69,55.69,55.69,55.69,282,20,282,20
21,Cheek_R,282,21,,282_#0021,------,SCE,60.69,12.89,20.67,------,------,------,------,------,11.6,11.6,11.6,11.6,11.6,11.96,12.38,13.47,15.36,17.28,18.88,20.15,21.25,22.47,23.77,24.78,25.06,24.72,24.7,25.52,26.57,26.72,27.95,33.66,40.11,44.41,47.22,49.09,50.67,52.07,53.24,54.44,55.5,56.44,57.23,57.23,57.23,57.23,57.23,282,21,282,21
21,Forehead,282,22,,282_#0022,------,SCE,60.04,13.46,18.89,------,------,------,------,------,12.26,12.26,12.26,12.26,12.26,12.59,12.93,13.87,15.64,17.55,19.18,20.43,21.55,22.7,23.87,24.75,24.76,24.06,23.73,24.39,25.31,25.26,26.28,31.96,38.87,43.86,47.23,49.49,51.27,52.82,54.06,55.41,56.7,57.84,58.8,58.8,58.8,58.8,58.8,282,22,282,22
21,Palm,288,2,,288_#0002,------,SCE,63,10.77,15.17,------,------,------,------,------,15.69,15.69,15.69,15.69,15.69,14.88,14.73,15.85,18.52,22.14,25.09,27.01,28.35,29.48,30.53,30.95,29.83,27.57,26.07,26.56,27.5,26.53,27.36,34.55,42.78,48.02,50.86,52.37,53.34,54.1,54.63,55.24,55.81,56.36,56.6,56.6,56.6,56.6,56.6,288,2,288,2
21,Forearm_inner,288,3,,288_#0003,------,SCE,58.97,10.14,18.37,------,------,------,------,------,10.62,10.62,10.62,10.62,10.62,10.97,11.28,11.98,13.69,16.83,19.63,21.22,22.25,23.07,23.72,24.12,24.21,23.82,23.33,23.47,24.16,24.73,26.33,30.65,35.93,39.96,42.34,43.84,45.01,46.07,46.93,47.94,48.92,49.82,50.56,50.56,50.56,50.56,50.56,288,3,288,3
21,Tricep,288,4,,288_#0004,------,SCE,58.1,10.64,17.86,------,------,------,------,------,10.41,10.41,10.41,10.41,10.41,10.71,10.96,11.53,13.03,16.09,19.21,21,22.09,22.93,23.5,23.74,23.57,22.92,22.17,21.98,22.53,23.31,25.01,29.19,34.81,39.39,42.12,43.77,45.07,46.16,47.12,48.18,49.21,50.12,50.84,50.84,50.84,50.84,50.84,288,4,288,4
21,Shoulder,288,5,,288_#0005,------,SCE,60.95,9.77,18.96,------,------,------,------,------,12.26,12.26,12.26,12.26,12.26,12.66,12.96,13.66,15.35,18.19,20.66,22.08,23.13,24.14,25.08,25.72,26.03,25.98,25.83,26.03,26.76,27.55,29.18,33.29,38.3,42.12,44.45,45.91,47.08,48.12,49,49.95,50.82,51.62,52.22,52.22,52.22,52.22,52.22,288,5,288,5
21,Cheek_L,288,6,,288_#0006,------,SCE,58.67,14.93,18.56,------,------,------,------,------,11.61,11.61,11.61,11.61,11.61,12.06,12.4,13.13,14.57,16.5,18.24,19.51,20.53,21.54,22.57,23.22,23.04,22.2,21.73,22.44,23.45,23.16,24.38,31.15,38.79,43.66,46.48,48.21,49.53,50.68,51.64,52.65,53.58,54.44,55.1,55.1,55.1,55.1,55.1,288,6,288,6
21,Cheek_R,288,7,,288_#0007,------,SCE,55.98,13.32,18.6,------,------,------,------,------,10.13,10.13,10.13,10.13,10.13,10.54,10.86,11.5,12.73,14.47,16.04,17.14,18.1,19.01,19.95,20.6,20.67,20.2,19.91,20.44,21.32,21.45,22.73,27.97,33.91,37.93,40.39,41.89,43.13,44.21,45.16,46.23,47.24,48.15,48.94,48.94,48.94,48.94,48.94,288,7,288,7
21,Forehead,288,8,,288_#0008,------,SCE,60.3,14.76,15.66,------,------,------,------,------,15.55,15.55,15.55,15.55,15.55,15.14,14.88,15.44,17.06,19.23,21.16,22.51,23.47,24.59,25.75,26.29,25.57,24,23.02,23.23,23.99,23.81,25.16,32.34,40.49,46.12,49.56,51.46,52.79,53.84,54.72,55.83,56.91,57.85,58.51,58.51,58.51,58.51,58.51,288,8,288,8
21,Palm,288,9,,288_#0009,------,SCE,64.08,9.53,15.73,------,------,------,------,------,16.04,16.04,16.04,16.04,16.04,15.21,15.05,16.23,19.04,22.93,26.01,27.99,29.28,30.46,31.53,32.02,31.14,29.17,27.79,28.24,29.17,28.43,29.44,36.15,43.61,48.43,51.02,52.38,53.31,53.99,54.49,55.07,55.66,56.16,56.4,56.4,56.4,56.4,56.4,288,9,288,9
21,Forearm_inner,288,10,,288_#0010,------,SCE,59.42,9.5,17.93,------,------,------,------,------,11.12,11.12,11.12,11.12,11.12,11.5,11.82,12.53,14.28,17.45,20.26,21.74,22.7,23.49,24.14,24.53,24.67,24.45,24.06,24.19,24.86,25.49,27.08,31.16,36.14,39.87,42.1,43.49,44.56,45.52,46.31,47.21,48.11,48.95,49.63,49.63,49.63,49.63,49.63,288,10,288,10
